solver,seed,case_id,gate,case_score,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,answers_by_query_match,error
llama_cpp,0,seed0_audit_mediator_missing,audit_correctness,0.0,1.0,1.0,1.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_cause_missing,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_support_distractor,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_outcome_observation_missing,audit_correctness,0.0,1.0,1.0,0.0,1.0,1.0,1.0,
llama_cpp,0,seed0_audit_irrelevant_missing,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_mediator_missing,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_cause_missing,audit_correctness,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_audit_support_distractor,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_outcome_observation_missing,audit_correctness,0.0,1.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_irrelevant_missing,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_mediator_missing,audit_correctness,0.0,1.0,1.0,1.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_cause_missing,audit_correctness,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_audit_support_distractor,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_outcome_observation_missing,audit_correctness,0.0,1.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_irrelevant_missing,audit_correctness,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
