solver,seed,case_id,gate,case_score,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,error
llama_cpp,0,seed0_budgeted_inspect_noise_first,budgeted_inspect,0.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_mediator_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_many_distractors,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_already_verifiable,budgeted_inspect,0.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_noise_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_mediator_first,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_many_distractors,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_already_verifiable,budgeted_inspect,0.0,0.0,0.0,1.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_noise_first,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_mediator_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_many_distractors,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_already_verifiable,budgeted_inspect,0.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_support_conditioned_noise_first,budgeted_inspect,0.0,1.0,0.0,0.0,0.0,1.0,
