solver,seed,case_id,gate,case_score,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,error
llama_cpp,0,seed0_transfer_strict,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_support_binding_strict,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_counterfactual_strict,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_local_edit_strict,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_audit_strict,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,0,seed0_noncritical_missing_strict,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect_strict,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,1,seed1_transfer_strict,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_support_binding_strict,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_counterfactual_strict,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_local_edit_strict,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_audit_strict,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,1,seed1_noncritical_missing_strict,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect_strict,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_transfer_strict,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_support_binding_strict,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_counterfactual_strict,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_local_edit_strict,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_audit_strict,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_noncritical_missing_strict,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_budgeted_inspect_strict,budgeted_inspect,0.0,1.0,0.0,1.0,0.0,1.0,
