solver,seed,case_id,gate,variant,case_score,expected_inspect,actual_inspect,inspect_error,expected_uncertain,actual_uncertain,expected_audit_links,actual_audit_links,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,answers_by_query_match,error
llama_cpp,0,seed0_audit_mediator_missing,audit_correctness,mediator_missing,0.0,q2,q2,correct,True,True,q2 -> n4,p6 -> n4,1.0,1.0,1.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_cause_missing,audit_correctness,cause_missing,0.0,p6,q2,wrong_variable,True,,p6 -> q2,q2 -> n4,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_support_distractor,audit_correctness,support_distractor,0.0,q2,n4,wrong_variable,True,,q2 -> n4,q2 -> n4;z9 -> n4,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,0,seed0_audit_outcome_observation_missing,audit_correctness,outcome_observation_missing,0.0,n4,n4,correct,True,,q2 -> n4,q2 -> n4,1.0,1.0,0.0,1.0,1.0,1.0,
llama_cpp,0,seed0_audit_irrelevant_missing,audit_correctness,irrelevant_missing,0.0,none,r5,over_inspect,False,True,,z9 -> n4,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_mediator_missing,audit_correctness,mediator_missing,0.0,u8,q2,wrong_variable,True,True,u8 -> q2,r5 -> u8;u8 -> q2,1.0,0.0,1.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_cause_missing,audit_correctness,cause_missing,0.0,r5,q2,wrong_variable,True,True,r5 -> u8,r5 -> u8,1.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_audit_support_distractor,audit_correctness,support_distractor,0.0,u8,q2,wrong_variable,True,,u8 -> q2,s1_a -> q2,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_outcome_observation_missing,audit_correctness,outcome_observation_missing,0.0,q2,q2,correct,True,,u8 -> q2,q2 -> u8,1.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_audit_irrelevant_missing,audit_correctness,irrelevant_missing,0.0,none,q2,over_inspect,False,,,q2 -> u8,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_mediator_missing,audit_correctness,mediator_missing,0.0,r5,r5,correct,True,True,r5 -> p6,n4 -> r5,1.0,1.0,1.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_cause_missing,audit_correctness,cause_missing,0.0,n4,r5,wrong_variable,True,True,n4 -> r5,n4 -> r5,1.0,0.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_audit_support_distractor,audit_correctness,support_distractor,0.0,r5,p6,wrong_variable,True,,r5 -> p6,n4 -> p6,1.0,0.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_outcome_observation_missing,audit_correctness,outcome_observation_missing,0.0,p6,p6,correct,True,,r5 -> p6,n4 -> p6,1.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_audit_irrelevant_missing,audit_correctness,irrelevant_missing,0.0,none,u8,over_inspect,False,True,,q2 -> z9,1.0,0.0,0.0,0.0,1.0,1.0,
