solver,seed,case_id,gate,case_score,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,answers_by_query_match,error
relation_oracle,0,seed0_local_edit_behavior,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
relation_oracle,1,seed1_local_edit_behavior,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
relation_oracle,2,seed2_local_edit_behavior,local_edit_locality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
edit_compliance,0,seed0_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
edit_compliance,1,seed1_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
edit_compliance,2,seed2_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
edit_no_behavior,0,seed0_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
edit_no_behavior,1,seed1_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
edit_no_behavior,2,seed2_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
global_mapping,0,seed0_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
global_mapping,1,seed1_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
global_mapping,2,seed2_local_edit_behavior,local_edit_locality,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
